수집일시,검색어,제목,언론사,보도일자,링크
2024-11-29 16:34:23,파이썬,"AI 교육혁명시대, 새로운 대학교육의 리더 서울사이버대 12월1일부터 모집",한겨레,1일 전,https://www.hani.co.kr/arti/society/schooling/1169651.html
2024-11-29 16:34:23,파이썬,양자컴퓨터 국내 첫 도입한 연세대…IBM과 불치병 잡을까,지디넷코리아언론사 선정,1주 전,https://zdnet.co.kr/view/?no=20241120145052
2024-11-29 16:34:23,파이썬,‘애저 AI 파운드리’ 생성형 AI 개발의 도약적 출발선,바이라인네트워크,7일 전,https://byline.network/?p=9004111222549630
2024-11-29 16:34:23,파이썬,최근5년 신입생 수 1위… ‘인공지능 휴먼’ 강의 제작,문화일보,26면 1단,https://www.munhwa.com/news/view.html?no=2024112601032621000002
2024-11-29 16:34:23,파이썬,"이파피루스, '파이뮤PDF 프로' 국내 출시",전자신문,23면 3단,https://www.etnews.com/20241120000073
2024-11-29 16:34:23,파이썬,코딩을 다시 즐겁게··· 개발자를 위한 14가지 전처리기,CIO Korea,4일 전,https://www.cio.com/article/3611726/코딩을-다시-즐겁게···-개발자를-위한-14가지-전처리.html
2024-11-29 16:34:23,파이썬,"구디아카데미, 국비지원 자바 부트캠프 'AI 부트캠프' 12월 개강",E동아,1주 전,https://edu.donga.com/news/articleView.html?idxno=78661
2024-11-29 16:34:23,파이썬,"코딩밸리, 신규 ‘파이썬 업무 자동화 코스’ 출시",한경비즈니스,3주 전,https://magazine.hankyung.com/business/article/202411089559b
2024-11-29 16:34:23,파이썬,"반에크 유럽 파이썬 ETN 출시, 세계 15개국 투자자 접근 가능",토큰포스트,3주 전,https://www.tokenpost.kr/article-204120
2024-11-29 16:34:23,파이썬,"파이썬, AI 열풍 힘입어 깃허브 최고 인기 언어 등극",지디넷코리아,3주 전,https://zdnet.co.kr/view/?no=20241104100443
2024-11-29 16:34:26,파이썬,"이파피루스, 문서 데이터 추출하는 '파이뮤PDF 프로' 국내 정식 론칭",아이티데일리,1주 전,http://www.itdaily.kr/news/articleView.html?idxno=228903
2024-11-29 16:34:26,파이썬,"중앙대광명병원, 제2회 스마트챌린지 개최… 디지털 전환 고도화 추진",헬스조선,7일 전,https://health.chosun.com/site/data/html_dir/2024/11/22/2024112201190.html
2024-11-29 16:34:26,파이썬,"한국항공대, '빅데이터 분석을 위한 파이썬 입문 과정' 실시",한국대학신문,3주 전,https://news.unn.net/news/articleView.html?idxno=570505
2024-11-29 16:34:26,파이썬,"윤가이, ‘코딩밸리’ 서비스 전속 모델 발탁..CF 촬영 진행",MBN,7일 전,https://www.mk.co.kr/article/11175418?refer=portal
2024-11-29 16:34:26,파이썬,"코딩밸리, 신규 ‘파이썬 업무 자동화 코스’ 출시",한경비즈니스,3주 전,https://magazine.hankyung.com/business/article/202411089559b
2024-11-29 16:34:26,파이썬,"엔비디아, cu파이뉴메릭 가속 컴퓨팅 라이브러리 공개",케이벤치,1주 전,https://kbench.com/?q=node/262160
2024-11-29 16:34:26,파이썬,"반에크 유럽 파이썬 ETN 출시, 세계 15개국 투자자 접근 가능",토큰포스트,3주 전,https://www.tokenpost.kr/article-204120
2024-11-29 16:34:26,파이썬,"가천대, ‘With 청년, 취업 Catch Up’ 프로그램으로 지역 청년 지원 강화",경기신문,1주 전,https://www.kgnews.co.kr/news/article.html?no=817577
2024-11-29 16:34:26,파이썬,"가천대, 청년 취업 지원 거점형 프로그램 운영",이뉴스투데이,2주 전,http://www.enewstoday.co.kr/news/articleView.html?idxno=2200052
2024-11-29 16:34:26,파이썬,"코딩학원 코리아IT아카데미, 최후의 1인 가리는 ‘코지컬 100’ 코딩대회 개최",세계일보,3주 전,http://www.segye.com/newsView/20241108509213?OutUrl=naver
